',DBQ301,':',"The next questions are about meals provided by community or government programs. In the past 12 months, did {you/SP} receive any meals delivered to {your/his/her} home from community programs, ""Meals on Wheels"", or any other programs?",,"',","'DBQ301':'The next questions are about meals provided by community or government programs. In the past 12 months, did {you/SP} receive any meals delivered to {your/his/her} home from community programs, ""Meals on Wheels"", or any other programs?',"
',DBQ330,':',"In the past 12 months, did {you/SP} go to a community program or senior center to eat prepared meals?",,"',","'DBQ330':'In the past 12 months, did {you/SP} go to a community program or senior center to eat prepared meals?',"
',DBQ360,':',"During the school year, {do you/does SP} attend a kindergarten, grade school, junior or high school?",,"',","'DBQ360':'During the school year, {do you/does SP} attend a kindergarten, grade school, junior or high school?',"
',DBQ370,':',Does {your/SP's} school serve school lunches? These are complete lunches that cost the same every day.,,"',","'DBQ370':'Does {your/SP's} school serve school lunches? These are complete lunches that cost the same every day.',"
',DBD381,':',"During the school year, about how many times a week {do you/does SP} usually get a complete school lunch?",,"',","'DBD381':'During the school year, about how many times a week {do you/does SP} usually get a complete school lunch?',"
',DBQ390,':',"{Do you/Does SP} get these lunches free, at a reduced price, or {do you/does he/she} pay full price?",,"',","'DBQ390':'{Do you/Does SP} get these lunches free, at a reduced price, or {do you/does he/she} pay full price?',"
',DBQ400,':',Does {your/SP's} school serve a complete breakfast that costs the same every day?,,"',","'DBQ400':'Does {your/SP's} school serve a complete breakfast that costs the same every day?',"
',DBD411,':',"During the school year, about how many times a week {do you/does SP} usually get a complete breakfast at school?",,"',","'DBD411':'During the school year, about how many times a week {do you/does SP} usually get a complete breakfast at school?',"
',DBQ421,':',"{Do you/Does SP} get these breakfasts free, at a reduced price, or {do you/does he/she} pay full price?",,"',","'DBQ421':'{Do you/Does SP} get these breakfasts free, at a reduced price, or {do you/does he/she} pay full price?',"
',DBQ424,':',(Do you/Does SP) get a free or reduced price meal at any summer program (he/she) attends?,,"',","'DBQ424':'(Do you/Does SP) get a free or reduced price meal at any summer program (he/she) attends?',"
',DBD895,':',"Next I'm going to ask you about meals. By meal, I mean breakfast, lunch and dinner. During the past 7 days, how many meals {did you/did SP} get that were prepared away from home in places such as restaurants, fast food places, food stands, grocery stores, or from vending machines? {Please do not include meals provided as part of the school lunch or school breakfast./Please do not include meals provided as part of the community programs you reported earlier.}",,"',","'DBD895':'Next I'm going to ask you about meals. By meal, I mean breakfast, lunch and dinner. During the past 7 days, how many meals {did you/did SP} get that were prepared away from home in places such as restaurants, fast food places, food stands, grocery stores, or from vending machines? {Please do not include meals provided as part of the school lunch or school breakfast./Please do not include meals provided as part of the community programs you reported earlier.}',"
',DBD900,':',How many of those meals {did you/did SP} get from a fast-food or pizza place?,,"',","'DBD900':'How many of those meals {did you/did SP} get from a fast-food or pizza place?',"
',DBD905,':',"Some grocery stores sell ""ready to eat"" foods such as salads, soups, chicken, sandwiches and cooked vegetables in their salad bars and deli counters. During the past 30 days, how often did {you/SP} eat ""ready to eat"" foods from the grocery store? Please do not include sliced meat or cheese you buy for sandwiches and frozen or canned foods.",,"',","'DBD905':'Some grocery stores sell ""ready to eat"" foods such as salads, soups, chicken, sandwiches and cooked vegetables in their salad bars and deli counters. During the past 30 days, how often did {you/SP} eat ""ready to eat"" foods from the grocery store? Please do not include sliced meat or cheese you buy for sandwiches and frozen or canned foods.',"
',DBD910,':',"During the past 30 days, how often did you {SP} eat frozen meals or frozen pizzas? Here are some examples of frozen meals and frozen pizzas.",,"',","'DBD910':'During the past 30 days, how often did you {SP} eat frozen meals or frozen pizzas? Here are some examples of frozen meals and frozen pizzas.',"
',CBQ596,':',Next I'm going to ask a few questions about the nutritional guidelines recommended for Americans by the federal government. {Have you/Has SP} heard of My Plate?,,"',","'CBQ596':'Next I'm going to ask a few questions about the nutritional guidelines recommended for Americans by the federal government. {Have you/Has SP} heard of My Plate?',"
',CBQ606,':',{Have you/Has SP} looked up the My Plate plan on the internet?,,"',","'CBQ606':'{Have you/Has SP} looked up the My Plate plan on the internet?',"
',CBQ611,':',{Have you/Has SP} tried to follow the recommendations in the My Plate plan?,,"',","'CBQ611':'{Have you/Has SP} tried to follow the recommendations in the My Plate plan?',"
',CBQ505,':',"{I'll tell you when you will need it.} For the first few questions, please answer yes or no. In the past 12 months, did you buy food from fast food or pizza places? SP interview version: In the past 12 months, did {you/SP} buy food from fast food or pizza places?",,"',","'CBQ505':'{I'll tell you when you will need it.} For the first few questions, please answer yes or no. In the past 12 months, did you buy food from fast food or pizza places? SP interview version: In the past 12 months, did {you/SP} buy food from fast food or pizza places?',"
',CBQ535,':',"The last time when you ate out or bought food at a fast-food or pizza place, did you see nutrition or health information about any foods on the menu? SP interview version: The last time when {you/SP} ate out or bought food at a fast-food or pizza place, did {you/he/she} see nutrition or health information about any foods on the menu?",,"',","'CBQ535':'The last time when you ate out or bought food at a fast-food or pizza place, did you see nutrition or health information about any foods on the menu? SP interview version: The last time when {you/SP} ate out or bought food at a fast-food or pizza place, did {you/he/she} see nutrition or health information about any foods on the menu?',"
',CBQ540,':',Did you use the information in deciding which foods to buy? SP interview version: Did {you/SP} use the information in deciding which foods to buy?,,"',","'CBQ540':'Did you use the information in deciding which foods to buy? SP interview version: Did {you/SP} use the information in deciding which foods to buy?',"
',CBQ545,':',"{Please open your hand card booklet and turn to hand card 1 to answer the next question.} If nutrition or health information were readily available in fast food or pizza places, would you use it often, sometimes, rarely, or never, in deciding what to order? SP interview version: If nutrition or health information were readily available in fast food or pizza places, would {you/SP} use it often, sometimes, rarely, or never, in deciding what to order?",,"',","'CBQ545':'{Please open your hand card booklet and turn to hand card 1 to answer the next question.} If nutrition or health information were readily available in fast food or pizza places, would you use it often, sometimes, rarely, or never, in deciding what to order? SP interview version: If nutrition or health information were readily available in fast food or pizza places, would {you/SP} use it often, sometimes, rarely, or never, in deciding what to order?',"
',CBQ550,':',"[For the following questions, please answer yes or no.] In the past 12 months, did you eat at a restaurant with waiter or waitress service? SP interview version: In the past 12 months, did {you/SP} eat at a restaurant with waiter or waitress service?",,"',","'CBQ550':'[For the following questions, please answer yes or no.] In the past 12 months, did you eat at a restaurant with waiter or waitress service? SP interview version: In the past 12 months, did {you/SP} eat at a restaurant with waiter or waitress service?',"
',CBQ552,':',Think about the last time {you/SP} ate at a restaurant with a waiter or waitress. Is it a chain-restaurant?,,"',","'CBQ552':'Think about the last time {you/SP} ate at a restaurant with a waiter or waitress. Is it a chain-restaurant?',"
',CBQ580,':',"The last time you ate at a restaurant with a waiter or waitress, did you see nutrition or health information about any foods on the menu? SP interview version: Did {you/SP} see nutrition or health information about any foods on the menu?",,"',","'CBQ580':'The last time you ate at a restaurant with a waiter or waitress, did you see nutrition or health information about any foods on the menu? SP interview version: Did {you/SP} see nutrition or health information about any foods on the menu?',"
',CBQ590,':',"{Please look at hand card 1 [again].} If nutrition information were readily available in restaurants with a waiter or waitress, would you use it often, sometimes, rarely, or never, in deciding what to order? SP interview version: If nutrition or health information were readily available in restaurants with a waiter or waitress, would {you/SP} use it often, sometimes, rarely, or never, in deciding what to order?",,"',","'CBQ590':'{Please look at hand card 1 [again].} If nutrition information were readily available in restaurants with a waiter or waitress, would you use it often, sometimes, rarely, or never, in deciding what to order? SP interview version: If nutrition or health information were readily available in restaurants with a waiter or waitress, would {you/SP} use it often, sometimes, rarely, or never, in deciding what to order?',"
',DLQ010,':',"With this next set of questions, we want to learn about people who have physical, mental, or emotional conditions that cause serious difficulties with their daily activities. Though different, these questions may sound similar to ones I asked earlier. {Are you/Is SP} deaf or {do you/does he/does she} have serious difficulty hearing?",,"',","'DLQ010':'With this next set of questions, we want to learn about people who have physical, mental, or emotional conditions that cause serious difficulties with their daily activities. Though different, these questions may sound similar to ones I asked earlier. {Are you/Is SP} deaf or {do you/does he/does she} have serious difficulty hearing?',"
